"","ntrips_id","island","site","landing_site","ext_worker","date","worked_y.n","reason_not_fishing","other_reason","surface_gillnet","circular_net","purse_seine","surface_gillnet_seine","demersal_gillnet","spear_fishing","hook_line","hook_line_shore"
"193","uuid:f5a22bfe-235d-45e5-ad68-1c2c8821f876","PC","AB","abade","judiciley","2021-07-30","sim",NA,NA,0,0,1,0,0,0,2,1
"194","uuid:bf705e77-8db7-4222-8806-b1ac7d5dcca7","PC","AB","abade","judiciley","2021-08-05","sim",NA,NA,0,0,2,0,0,3,3,0
"195","uuid:e64898ed-28c1-4b38-b35e-a9e0b9939a7f","PC","AB","abade","judiciley","2021-08-06","sim",NA,NA,0,0,1,0,0,0,4,0
"196","uuid:9ea776f9-5d9c-4df7-8f33-a1fefc25cd00","PC","AB","abade","judiciley","2021-08-10","sim",NA,NA,0,0,1,0,0,0,3,1
"197","uuid:8e03a1ea-fa97-4918-b87f-bb607b92ea27","PC","AB","abade","judiciley","2021-08-13","sim",NA,NA,0,0,1,0,0,3,4,0
"198","uuid:e5db290c-5cf6-42c3-a117-c613c8fdd381","PC","AB","abade","judiciley","2021-08-17","sim",NA,NA,0,0,1,0,0,3,1,1
"199","uuid:99d4cf84-a8e4-4af0-ad0e-b0e0139438e0","PC","AB","abade","judiciley","2021-08-20","sim",NA,NA,0,0,0,0,0,3,1,0
"200","uuid:bb706f69-16e0-420c-9382-0a881c819f3c","PC","AB","abade","judiciley","2021-08-24","sim",NA,NA,0,0,1,0,0,0,5,0
"201","uuid:9a22de29-d4d7-44a9-bc21-5842a005ffb2","PC","AB","abade","judiciley","2021-08-27","sim",NA,NA,0,0,1,0,0,4,7,0
"202","uuid:6828a114-94e4-4103-80a0-12109efb2f4b","PC","AB","abade","judiciley","2021-08-31","sim",NA,NA,0,0,1,0,0,0,6,0
"203","uuid:1446e748-c0b3-4579-8408-36412c3f73a4","PC","AB","abade","judiciley","2021-09-03","sim",NA,NA,0,0,1,0,0,2,5,0
"204","uuid:0258dd07-22ea-40d0-8697-810d47ffcc5c","PC","AB","abade","judiciley","2021-09-07","sim",NA,NA,0,0,0,0,0,0,2,0
"205","uuid:a0b9b40d-33e0-4cb5-95d8-5917534bed22","PC","AB","abade","judiciley","2021-09-10","sim",NA,NA,0,0,0,0,0,0,1,0
"206","uuid:ebd255c0-b9d3-4dcf-896d-b3cc4d9cf7fc","PC","AB","abade","judiciley","2021-09-14","sim",NA,NA,0,0,0,0,0,3,1,0
"207","uuid:8fddb9ef-8919-4a67-a882-55b14a698fa5","PC","AB","abade","judiciley","2021-09-17","sim",NA,NA,0,0,0,0,0,4,3,0
"208","uuid:4ec2b0fc-95c6-48bf-800f-1fe104839bb9","PC","AB","abade","judiciley","2021-09-21","sim",NA,NA,0,0,1,0,0,0,1,0
"209","uuid:44e17afd-75b9-4bc0-a214-85415a17d95e","PC","AB","abade","judiciley","2021-09-24","sim",NA,NA,0,0,1,0,0,4,4,0
"210","uuid:e88224d2-d0e3-4ff6-a3d3-829f64c0c9bc","PC","AB","abade","judiciley","2021-09-28","sim",NA,NA,0,0,2,0,0,3,8,0
"211","uuid:24fe090f-c0eb-4edb-88ba-475c8c627075","PC","AB","abade","judiciley","2021-10-01","sim",NA,NA,0,0,1,0,0,3,7,0
"212","uuid:a904cc04-c294-40c9-85cc-e9cbea82e102","PC","AB","abade","judiciley","2021-10-05","sim",NA,NA,0,0,1,0,0,0,4,0
"213","uuid:893735dd-a99f-44aa-9d77-5e7f372f53b1","PC","AB","abade","judiciley","2021-10-08","sim",NA,NA,0,0,0,0,0,4,6,1
"214","uuid:9b5d4aec-4ee2-424e-bf14-86de34133aa5","PC","AB","abade","judiciley","2021-10-12","sim",NA,NA,0,0,0,0,0,0,4,0
"215","uuid:1191a8cb-6f31-427d-953c-ee16bc636c60","PC","AB","abade","judiciley","2021-10-15","sim",NA,NA,0,0,0,0,0,0,5,0
"216","uuid:09e0d267-1ef7-4fed-bcd1-18bf4eae5882","PC","AB","abade","judiciley","2021-10-22","sim",NA,NA,0,0,0,0,0,3,0,1
"217","uuid:586c5c76-187a-43f5-a728-63e7b4251f11","PC","AB","abade","judiciley","2021-10-26","sim",NA,NA,0,0,0,0,0,0,1,0
"218","uuid:5fa399ab-ded0-4620-8b9f-b6f1625a997b","PC","AB","abade","regina","2021-11-12","sim",NA,NA,0,0,0,0,0,0,0,3
"219","uuid:2824ffdc-11f7-4d66-a1c8-dd3362b58460","PC","AB","abade","judiciley","2021-11-30","sim",NA,NA,0,0,0,0,0,0,1,1
"220","uuid:7c84b467-7e16-4d5a-b414-2a19f9c5306c","PC","AB","abade","judiciley","2021-12-07","sim",NA,NA,0,0,0,0,0,0,2,0
"221","uuid:7b6d08f4-913b-4d9b-ae87-2c4d2259cbfe","PC","AB","abade","judiciley","2021-12-10","sim",NA,NA,0,0,0,0,0,0,2,0
"222","uuid:9c73b8b8-a974-4889-81b5-296075573751","PC","AB","abade","judiciley","2021-12-14","sim",NA,NA,1,0,0,0,0,0,7,0
"223","uuid:f64ac9af-ccfe-43b2-90cf-9a1affa6250b","PC","AB","abade","judiciley","2021-12-17","sim",NA,NA,0,0,0,0,0,0,9,0
"224","uuid:a19aa4a5-48c0-4cc3-b76f-9ce68152600f","PC","AB","abade","judiciley","2021-12-21","sim",NA,NA,1,0,0,0,0,3,12,0
"225","uuid:9eb1ed83-1e0e-48df-91c2-9634596d201e","PC","AB","abade","judiciley","2021-12-24","sim",NA,NA,0,0,0,0,0,0,5,0
"226","uuid:d28dd4d4-b1f5-43b0-bd53-866bbecfbd9f","PC","AB","abade","judiciley","2021-12-28","nao-pesca","outra","Porque pescador n„o for„o pra mar",0,0,0,0,0,0,0,0
"227","uuid:75f5b415-a9f6-43a2-a00b-7bb3f3ad1cbc","PC","AB","abade","judiciley","2021-12-31","sim",NA,NA,0,0,0,0,0,0,3,0
"228","uuid:dca21606-0362-4ece-91e1-8fc461e72abd","PC","AB","abade","judiciley","2022-01-04","nao-pesca","outra","N„o ouvi pesca",0,0,0,0,0,0,0,0
